,no,date,group,campaign_id,order_info,address,payment
59,B0RY004EE0,2020-10-03 09:47:48,울트라콜,3005197,4. 탕수육+볶음밥+만두,경기 화성시 봉담읍 봉담읍 ****,16000
58,B0RY004ZU2,2020-10-03 10:20:04,울트라콜,3046829,1. 탕수육+짜장2+만두,경기 수원시 권선구 평동 ****,21000
57,B0RY00613N,2020-10-03 10:58:45,울트라콜,3046829,2. 탕수육+짜장1+짬뽕1+만두,경기 수원시 권선구 평동 ****,21000
56,B0RY00A2IK,2020-10-03 12:01:06,울트라콜,3005197,간짜장 외 1,경기 수원시 권선구 평동 ****,38000
55,B0RY00E2T4,2020-10-03 12:48:08,울트라콜,3005197,탕짬면,경기 수원시 권선구 평동 ****,10000
54,B0RY00EO1H,2020-10-03 12:53:32,울트라콜,3005197,7. 탕수육+짬뽕1+간짜장2+만두,경기 화성시 봉담읍 봉담읍 ****,27000
53,B0RY00EP3N,2020-10-03 12:55:03,울트라콜,3005197,1. 탕수육+짜장2+만두,경기 수원시 권선구 평동 ****,20000
52,B0RY00FB7J,2020-10-03 13:02:25,울트라콜,3046829,2. 탕수육+짜장1+짬뽕1+만두,,22000
51,B0RY00IZJQ,2020-10-03 13:49:47,울트라콜,3046829,2. 탕수육+짜장1+짬뽕1+만두,경기 수원시 권선구 평동 ****,21000
50,B0RY00KRRQ,2020-10-03 14:14:18,울트라콜,3005196,볶음밥 외 2,경기 화성시 매송면 매송면 ****,41000
49,B0RY00LPI9,2020-10-03 14:30:32,울트라콜,3005196,간짜장 외 1,경기 화성시 매송면 매송면 ****,16000
48,B0RY00NXEP,2020-10-03 15:04:04,울트라콜,3005196,2. 탕수육+짜장1+짬뽕1+만두,경기 화성시 매송면 매송면 ****,21000
47,B0RY00R1LJ,2020-10-03 15:57:25,울트라콜,3005196,짜장면 외 2,경기 화성시 매송면 매송면 ****,15000
46,B0RY00S4T2,2020-10-03 16:13:50,울트라콜,3005197,제육덮밥 외 1,경기 수원시 권선구 평동 ****,24000
45,B0RY014FTB,2020-10-03 18:12:15,울트라콜,3005196,2. 탕수육+짜장1+짬뽕1+만두,경기 화성시 매송면 매송면 ****,22000
44,B0RY017LEZ,2020-10-03 18:33:28,울트라콜,3005196,차돌박이짬뽕 외 1,경기 화성시 매송면 매송면 ****,35000
43,B0RY0187W1,2020-10-03 18:35:58,울트라콜,3005197,굴짬뽕 외 5,경기 화성시 봉담읍 봉담읍 ****,58000
42,B0RY01BTGU,2020-10-03 19:02:25,울트라콜,3005197,1. 탕수육+짜장2+만두,경기 수원시 권선구 평동 ****,21000
41,B0RY01EJOE,2020-10-03 19:24:38,울트라콜,3046829,2. 탕수육+짬뽕1+만두,경기 수원시 권선구 평동 ****,16000
40,B0RY01H3FT,2020-10-03 19:49:34,울트라콜,3005197,5. 탕수육+잡채밥+만두,경기 수원시 권선구 평동 ****,21000
39,B0RZ004SCV,2020-10-04 09:56:47,울트라콜,3005197,짬뽕 외 1,경기 수원시 권선구 평동 ****,15000
38,B0RZ006T0Q,2020-10-04 11:03:14,울트라콜,3005197,짜장면 외 2,경기 화성시 봉담읍 봉담읍 ****,35000
37,B0RZ007TF8,2020-10-04 11:19:09,울트라콜,3005196,짜장면 외 1,경기 화성시 매송면 매송면 ****,13000
36,B0RZ009WAX,2020-10-04 11:47:37,울트라콜,3005197,짬뽕 외 1,경기 수원시 권선구 평동 ****,16000
35,B0RZ00E4R3,2020-10-04 12:33:34,울트라콜,3005197,삼선짜장 외 1,경기 화성시 봉담읍 봉담읍 ****,18000
34,B0RZ00HJVJ,2020-10-04 13:09:39,울트라콜,3046829,공기밥 외 1,경기 수원시 권선구 평동 ****,10000
33,B0RZ00JNHV,2020-10-04 13:33:42,울트라콜,3005197,2. 탕수육+짬뽕1+만두 외 2,경기 화성시 봉담읍 봉담읍 ****,28000
32,B0RZ00SFAZ,2020-10-04 15:30:54,울트라콜,3005197,8. 탕수육+쟁반짜장(2人)+만두 외 1,,34000
31,B0RZ00UJ12,2020-10-04 16:01:53,울트라콜,3005197,콜라 외 1,경기 수원시 권선구 평동 ****,11000
30,B0RZ00YF4X,2020-10-04 16:49:48,울트라콜,3005197,2. 탕수육+짜장1+짬뽕1+만두 외 1,,28000
29,B0RZ015FBZ,2020-10-04 17:42:33,울트라콜,3005197,탕수육 외 1,경기 수원시 권선구 평동 ****,28000
28,B0RZ01BTJF,2020-10-04 18:20:47,울트라콜,3005197,누룽지탕 외 1,경기 화성시 봉담읍 봉담읍 ****,32000
27,B0RZ01G3ZT,2020-10-04 18:49:54,울트라콜,3005197,간짜장 외 1,경기 화성시 봉담읍 봉담읍 ****,17000
26,B0RZ01GLMX,2020-10-04 18:52:31,울트라콜,3005197,6. 탕수육+짬짜면+만두,경기 수원시 권선구 평동 ****,17000
25,B0RZ01K9HV,2020-10-04 19:22:25,울트라콜,3005197,탕짜면 외 1,경기 수원시 권선구 평동 ****,16000
24,B0S0003EBM,2020-10-05 09:14:29,울트라콜,3005196,차돌박이짬뽕,경기 화성시 매송면 매송면 ****,10000
