,no,date,group,campaign_id,order_info,address,payment
159,B0R200A71W,2020-09-01 11:31:01,울트라콜,2200633,13셋트(탕수육+고기짬뽕2+콜라) 외 1,인천 남동구 구월3동 ****,31500
158,B0R200AUH5,2020-09-01 11:34:38,울트라콜,2200622,냉짬뽕 외 1,인천 남동구 구월1동 ****,30000
157,B0R200C4QG,2020-09-01 11:47:35,울트라콜,2200634,짜장 외 1,인천 미추홀구 주안6동 ****,13000
156,B0R200D9Y1,2020-09-01 12:01:01,울트라콜,2200618,짬뽕 외 1,인천 남구 문학동 ****,14500
155,B0R200F8CZ,2020-09-01 12:19:29,울트라콜,2200628,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월1동 ****,21000
154,B0R200GFEL,2020-09-01 12:32:08,울트라콜,2200628,3셋트(탕수육+짬뽕2+콜라),인천 남동구 구월1동 ****,21000
153,B0R200GI2T,2020-09-01 12:35:34,울트라콜,2200628,7셋트(탕수육+쟁반짜장2인+콜라),,24000
152,B0R200ICKT,2020-09-01 12:52:44,울트라콜,2200622,탕짜면,인천 남동구 구월1동 ****,10000
151,B0R200IS86,2020-09-01 13:01:15,울트라콜,2200631,볶음밥 외 1,인천 남동구 구월2동 ****,28000
150,B0R200JQDU,2020-09-01 13:14:15,울트라콜,2200621,3셋트(탕수육+짬뽕2+콜라) 외 1,인천 미추홀구 관교동 ****,26500
149,B0R200OIVR,2020-09-01 14:30:02,울트라콜,2200622,탕짬면,인천 남동구 구월1동 ****,10000
148,B0R2011P3H,2020-09-01 17:52:16,울트라콜,2200619,차돌짬뽕,인천 남동구 간석2동 ****,10000
147,B0R20142UQ,2020-09-01 18:13:00,울트라콜,2200618,옛날고기짬뽕 외 1,인천 미추홀구 문학동 ****,27000
146,B0R201CV4A,2020-09-01 19:11:38,울트라콜,2200617,1셋트(탕수육+짜장2+콜라) 외 1,,21000
145,B0R5003SZJ,2020-09-04 09:37:43,울트라콜,2200619,탕짜면,인천 미추홀구 주안4동 ****,10000
144,B0R5007A7I,2020-09-04 11:14:19,울트라콜,2200620,옛날고기짬뽕 외 2,인천 남동구 구월1동 ****,36000
143,B0R5009NQ4,2020-09-04 11:37:39,울트라콜,2200628,간짜장 외 1,인천 남동구 구월1동 ****,11500
142,B0R500D3NS,2020-09-04 12:12:40,울트라콜,2200620,짬뽕 외 1,인천 남동구 구월1동 ****,12000
141,B0R500GB3K,2020-09-04 12:52:58,울트라콜,2200620,삼선짬뽕밥,인천 남동구 구월1동 ****,11000
140,B0R500H07D,2020-09-04 13:01:34,울트라콜,2200625,바 셋트(탕수육+차돌짬뽕1+콜라) 외 1,인천 남동구 간석1동 ****,21000
139,B0R500H9RD,2020-09-04 13:07:19,울트라콜,2200634,옛날고기짬뽕밥,인천 미추홀구 주안6동 ****,10000
138,B0R500K5IM,2020-09-04 13:49:18,울트라콜,2200628,싱글요리세트 외 1,인천 남동구 구월1동 ****,31000
137,B0R500MS0S,2020-09-04 14:42:55,울트라콜,2200621,차돌짬뽕 외 1,인천 미추홀구 관교동 ****,15500
136,B0R500NL6V,2020-09-04 14:57:40,울트라콜,2200633,탕짜면,인천 남구 주안8동 ****,10000
135,B0R500O8E2,2020-09-04 15:11:14,울트라콜,2200625,탕짜면,인천 남동구 간석1동 ****,10000
134,B0R500OVO6,2020-09-04 15:25:59,울트라콜,2200621,7셋트(탕수육+쟁반짜장2인+콜라) 외 1,인천 미추홀구 문학동 ****,30500
133,B0R500S3EQ,2020-09-04 16:30:36,울트라콜,2200631,탕수육 외 1,인천 남동구 구월1동 ****,24000
132,B0R500SJ2Y,2020-09-04 16:33:08,울트라콜,2200634,1셋트(탕수육+짜장2+콜라),인천 미추홀구 주안6동 ****,21000
131,B0R500X1NY,2020-09-04 17:35:04,울트라콜,2200617,짜장 외 1,인천 남동구 구월1동 ****,14500
130,B0R501738M,2020-09-04 18:43:42,울트라콜,2200628,1셋트(탕수육+짜장2+콜라) 외 1,인천 남동구 구월1동 ****,34000
129,B0R5017D3U,2020-09-04 18:45:32,울트라콜,2200620,볶짬면 외 1,인천 남동구 구월1동 ****,18500
128,B0R5019ZHN,2020-09-04 19:01:20,울트라콜,2200634,깐쇼새우,인천 미추홀구 주안1동 ****,38000
127,B0R501COX4,2020-09-04 19:17:21,울트라콜,2200634,볶음밥 외 2,인천 미추홀구 주안6동 ****,36000
126,B0R501DRU7,2020-09-04 19:23:15,울트라콜,2200620,볶짜면 외 1,인천 남동구 구월1동 ****,10500
125,B0R501DZ2R,2020-09-04 19:25:18,울트라콜,2200618,삼선술국,인천 미추홀구 문학동 ****,15000
124,B0R501II1S,2020-09-04 19:57:30,울트라콜,2200622,9셋트(탕수육+삼선짜장+삼선짬뽕+콜라),인천광역시 남동구 구월1동 ****,30000
123,B0R6004P7M,2020-09-05 09:42:40,울트라콜,2200628,쟁반짜장 외 1,인천 남동구 구월1동 ****,21000
122,B0R6004YHZ,2020-09-05 10:05:38,울트라콜,2200628,차돌짬뽕,인천 남동구 구월1동 ****,11000
121,B0R6005G2K,2020-09-05 10:19:26,울트라콜,2200622,차돌짬뽕밥,인천 남동구 구월1동 ****,11000
120,B0R6005FDB,2020-09-05 10:20:56,울트라콜,2200617,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월1동 ****,20000
119,B0R6005HME,2020-09-05 10:21:18,울트라콜,2200617,10셋트(탕수육+삼선짬뽕2+콜라),인천 남동구 구월1동 ****,29000
118,B0R600628G,2020-09-05 10:40:42,울트라콜,2200631,쟁반짜장,인천 남동구 구월2동 ****,14000
117,B0R6006GTR,2020-09-05 10:48:20,울트라콜,2200621,삼선짬뽕 외 1,인천 미추홀구 주안4동 ****,48000
116,B0R60071CE,2020-09-05 11:00:39,울트라콜,2200635,옛날고기짬뽕 외 1,인천 남동구 구월3동 ****,10000
115,B0R60087JQ,2020-09-05 11:10:50,울트라콜,2200622,옛날고기짬뽕,인천 남동구 구월1동 ****,16000
114,B0R600845D,2020-09-05 11:12:46,울트라콜,2200631,바 셋트(탕수육+차돌짬뽕1+콜라),인천 남동구 구월2동 ****,20000
113,B0R60085Y5,2020-09-05 11:14:26,울트라콜,2200622,차돌짬뽕,인천 남동구 구월1동 ****,11000
112,B0R60092XA,2020-09-05 11:25:02,울트라콜,2200634,차돌짬뽕 외 1,인천 미추홀구 주안6동 ****,11500
111,B0R6009BIN,2020-09-05 11:25:53,울트라콜,2200620,탕짜면 외 1,인천 남동구 구월1동 ****,11000
110,B0R600AZQ4,2020-09-05 11:43:11,울트라콜,2200619,간짜장 외 1,인천 남동구 간석1동 ****,26500
109,B0R600B4SX,2020-09-05 11:44:34,울트라콜,2200618,2셋트(탕수육+짜장+짬뽕+콜라),인천 미추홀구 주안8동 ****,21000
108,B0R600BN1N,2020-09-05 11:46:02,울트라콜,2200628,삼선짬뽕,인천 남동구 구월1동 ****,10000
107,B0R600BSOZ,2020-09-05 11:48:35,울트라콜,2200621,볶음밥 외 1,인천 미추홀구 주안4동 ****,25000
106,B0R600BIVJ,2020-09-05 11:49:03,울트라콜,2200628,2셋트(탕수육+짜장+짬뽕+콜라),인천 남동구 구월2동 ****,21000
105,B0R600BQRA,2020-09-05 11:50:07,울트라콜,2200621,옛날고기짬뽕 외 1,인천 미추홀구 주안8동 ****,17000
104,B0R600FG7D,2020-09-05 12:22:57,울트라콜,2200628,차돌짬뽕 외 2,인천 남동구 구월1동 ****,32500
103,B0R600FWP8,2020-09-05 12:25:08,울트라콜,2200620,가 셋트(탕수육+짜장1+콜라),인천 남동구 구월1동 ****,16000
102,B0R600G8TA,2020-09-05 12:30:32,울트라콜,2200625,간짜장 외 3,인천 남동구 간석1동 ****,29500
101,B0R600H6HC,2020-09-05 12:37:44,울트라콜,2200621,삼선짬뽕,인천 미추홀구 주안8동 ****,10000
100,B0R600IKHZ,2020-09-05 12:50:05,울트라콜,2200628,옛날고기짬뽕 외 1,,27000
