주문시각,광고그룹,캠페인,주문내역,결제금액
2020-06-01 14:39:36,울트라콜,125853,2. 탕수육+짜장1+짬뽕1+만두,21000
2020-06-01 18:43:12,울트라콜,125853,제육덮밥 외 1,13000
2020-06-01 18:56:21,기타,기타,팔보채,30000
2020-06-02 09:28:35,울트라콜,125853,고추잡채밥 외 1,23000
2020-06-02 12:04:02,기타,기타,볶짜면 외 1,16000
2020-06-02 17:41:26,울트라콜,125853,2. 탕수육+삼선간짜장2+만두,27000
2020-06-02 18:53:36,울트라콜,125853,잡채밥 외 1,16000
2020-06-03 11:57:56,울트라콜,125853,볶음밥,28000
2020-06-03 14:14:27,기타,기타,1. 탕수육+짜장1+만두,15000
2020-06-03 18:30:36,울트라콜,125853,1. 탕수육+짜장1+만두,15000
2020-06-03 19:33:19,기타,기타,탕짜면 외 1,14000
2020-06-04 11:09:18,기타,기타,간짜장 외 2,75000
2020-06-04 11:26:29,울트라콜,125853,짜장면 외 2,25000
2020-06-04 12:22:08,울트라콜,125853,탕짜면 외 2,25000
2020-06-04 18:54:33,울트라콜,125853,짜장면 외 3,40000
2020-06-05 09:19:47,오픈리스트,2640015,짜장면 외 1,25000
2020-06-05 18:18:39,오픈리스트,2640015,짬뽕 외 1,28000
2020-06-05 18:36:56,오픈리스트,2640015,볶짬면 외 1,31000
2020-06-05 18:48:00,울트라콜,125853,간짜장,14000
2020-06-05 19:06:32,오픈리스트,2640015,해물쟁반짬뽕 외 1,36000
2020-06-07 09:11:25,오픈리스트,2640015,탕수육 외 2,36000
2020-06-07 09:11:25,오픈리스트,2640015,탕수육 외 2,36000
2020-06-07 09:11:25,오픈리스트,2640015,탕수육 외 2,36000
2020-06-07 09:26:52,오픈리스트,2640015,짬뽕,14000
2020-06-07 09:26:52,오픈리스트,2640015,짬뽕,14000
2020-06-07 09:26:52,오픈리스트,2640015,짬뽕,14000
2020-06-07 09:29:30,오픈리스트,2640015,제육덮밥 외 3,45000
2020-06-07 09:29:30,오픈리스트,2640015,제육덮밥 외 3,45000
2020-06-07 09:29:30,오픈리스트,2640015,제육덮밥 외 3,45000
2020-06-07 12:20:03,오픈리스트,2640015,3. 탕수육+짬뽕밥+만두 외 1,23000
2020-06-07 12:20:03,오픈리스트,2640015,3. 탕수육+짬뽕밥+만두 외 1,23000
2020-06-07 12:20:03,오픈리스트,2640015,3. 탕수육+짬뽕밥+만두 외 1,23000
2020-06-07 12:31:13,오픈리스트,2640015,고추짬뽕 외 1,16000
2020-06-07 12:31:13,오픈리스트,2640015,고추짬뽕 외 1,16000
2020-06-07 12:31:13,오픈리스트,2640015,고추짬뽕 외 1,16000
2020-06-07 12:38:31,오픈리스트,2640015,짜장면,12000
2020-06-07 12:38:31,오픈리스트,2640015,짜장면,12000
2020-06-07 12:38:31,오픈리스트,2640015,짜장면,12000
2020-06-07 13:06:25,오픈리스트,2640015,간짜장,21000
2020-06-07 13:06:25,오픈리스트,2640015,간짜장,21000
2020-06-07 13:06:25,오픈리스트,2640015,간짜장,21000
2020-06-07 14:21:30,오픈리스트,2640015,탕짜면 외 1,18000
2020-06-07 14:21:30,오픈리스트,2640015,탕짜면 외 1,18000
2020-06-07 14:21:30,오픈리스트,2640015,탕짜면 외 1,18000
2020-06-07 15:17:15,오픈리스트,2640015,1. 탕수육+짜장1+만두,15000
2020-06-07 15:17:15,오픈리스트,2640015,1. 탕수육+짜장1+만두,15000
2020-06-07 15:17:15,오픈리스트,2640015,1. 탕수육+짜장1+만두,15000
2020-06-07 20:15:00,오픈리스트,2640015,1. 탕수육+짜장1+만두,15000
2020-06-07 20:15:00,오픈리스트,2640015,1. 탕수육+짜장1+만두,15000
2020-06-07 20:15:00,오픈리스트,2640015,1. 탕수육+짜장1+만두,15000
2020-06-10 09:26:58,오픈리스트,2640015,간짜장 외 1,14000
2020-06-10 11:53:29,오픈리스트,2640015,1. 탕수육+짜장1+만두,15000
2020-06-10 12:08:19,울트라콜,125853,해물쟁반짜장 외 1,24000
2020-06-10 15:15:59,오픈리스트,2640015,짜장면 외 1,15000
2020-06-10 16:12:31,기타,기타,짜장면 외 1,31000
2020-06-11 18:00:12,오픈리스트,2640015,3. 탕수육+짬뽕2+만두,22000
2020-06-11 19:35:47,오픈리스트,2640015,2. 탕수육+짬뽕1+만두 외 1,25000
2020-06-11 20:11:33,오픈리스트,2640015,차돌박이짬뽕,10000
2020-06-11 20:17:45,오픈리스트,2640015,짬뽕 외 1,15000
2020-06-12 09:21:00,오픈리스트,2640015,짬뽕 외 1,14000
2020-06-12 11:51:57,오픈리스트,2640015,1. 탕수육+짜장2+만두 외 1,27000
2020-06-12 11:51:57,오픈리스트,2640015,1. 탕수육+짜장2+만두 외 1,27000
2020-06-12 15:32:15,오픈리스트,2640015,해물쟁반짜장,17000
2020-06-12 15:32:15,오픈리스트,2640015,해물쟁반짜장,17000
